datetime,solarenergy
2/7/2022,16
2/8/2022,14
2/9/2022,16
2/10/2022,17
2/11/2022,17
2/12/2022,17
2/13/2022,17
2/14/2022,17
2/15/2022,17
2/16/2022,17
2/17/2022,18
2/18/2022,18
2/19/2022,18
2/20/2022,18
2/21/2022,18
2/22/2022,18
2/23/2022,18
2/24/2022,19
2/25/2022,19
2/26/2022,19
2/27/2022,18
2/28/2022,18
3/1/2022,15
3/2/2022,15
3/3/2022,15
3/4/2022,16
3/5/2022,13
3/6/2022,14
3/7/2022,18
3/8/2022,19
3/9/2022,19
3/10/2022,18
3/11/2022,20
3/12/2022,20
3/13/2022,20
3/14/2022,21
3/15/2022,21
3/16/2022,21
3/17/2022,21
3/18/2022,21
3/19/2022,21
3/20/2022,21
3/21/2022,21
3/22/2022,22
3/23/2022,22
3/24/2022,23
3/25/2022,23
3/26/2022,24
3/27/2022,23
3/28/2022,24
3/29/2022,24
